X,Y,id,Dormitorio,Baño,Parqueader,Piso,Antiguedad,Fecha,Mantenimin,Valor_Men,Reg_Fot,Sup,icon_url
-69.9770547413611,18.4369942853266,"1","4",4.000000,"2","16",,2022/12/27,,"10000",C:\Users\Marcelo\Desktop\BD_REP_DOM\Locacion\Reg_Fotografico\1.webp,"630",./0.png
-69.9782471674174,18.4368914470029,"2","4",4.000000,"2","17",,2022/12/27,,"6000",C:\Users\Marcelo\Desktop\BD_REP_DOM\Locacion\Reg_Fotografico\2.webp,"630",./0.png
-69.9780375895044,18.436925726451,"3","2",2.000000,"2",,,2022/12/27,,"2500",C:\Users\Marcelo\Desktop\BD_REP_DOM\Locacion\Reg_Fotografico\3.webp,,./0.png
-69.9756310569181,18.437206817667,"4","3",3.000000,"4",,,2022/12/27,,"4500",C:\Users\Marcelo\Desktop\BD_REP_DOM\Locacion\Reg_Fotografico\4.webp,"426",./0.png
-69.97728961316,18.4403776318568,"5","3",3.000000,"2",,,2022/12/27,,"2900",C:\Users\Marcelo\Desktop\BD_REP_DOM\Locacion\Reg_Fotografico\5.webp,"180",./0.png
-69.9777412896965,18.4401788149566,"6","1",1.000000,"2",,,2022/12/27,,"1400",C:\Users\Marcelo\Desktop\BD_REP_DOM\Locacion\Reg_Fotografico\6.webp,"160",./0.png
-69.9778243981792,18.4401513919178,"7","1",1.000000,"2",,,2022/12/27,,"1350",C:\Users\Marcelo\Desktop\BD_REP_DOM\Locacion\Reg_Fotografico\7.webp,"150",./0.png
-69.974886693986,18.4402850791905,"8","2",2.000000,"2",,,2022/12/27,,"2500",C:\Users\Marcelo\Desktop\BD_REP_DOM\Locacion\Reg_Fotografico\8.webp,"238",./0.png
-69.9744856052217,18.4373130837387,"9","3",3.000000,"2","6",,2022/12/27,,"2000",C:\Users\Marcelo\Desktop\BD_REP_DOM\Locacion\Reg_Fotografico\9.webp,"170",./0.png
-69.9710203428339,18.4381220749044,"10","3",3.000000,"4",,,2022/12/27,,"12000",C:\Users\Marcelo\Desktop\BD_REP_DOM\Locacion\Reg_Fotografico\10.webp,"660",./0.png
-69.9704674907532,18.4382763312622,"11","5",5.000000,"4",,,2022/12/27,,"4500",C:\Users\Marcelo\Desktop\BD_REP_DOM\Locacion\Reg_Fotografico\11.webp,"520",./0.png
-69.970861352693,18.438152926187,"12","3",4.000000,"4",,,2022/12/27,,"9500",C:\Users\Marcelo\Desktop\BD_REP_DOM\Locacion\Reg_Fotografico\12.webp,"610",./0.png
-69.9699724532693,18.4391607317075,"13","3",2.000000,"2",,"33",2022/12/27,,"1500",Locacion/Reg_Fotografico/13.webp,,./0.png
-69.9712660548697,18.4409192353491,"14","2",2.000000,"2",,,2022/12/27,,"2200",Locacion/Reg_Fotografico/14.webp,"162",./0.png
-69.9685379285894,18.4402850791905,"15","3",3.000000,"3",,,2023/04/27,,"10500",Locacion/Reg_Fotografico/15.webp,"771",./0.png
-69.9688486820466,18.4413168672061,"16","3",3.000000,"2",,,2022/12/27,"30000","3000",Locacion/Reg_Fotografico/16.webp,"400",./0.png
-69.9690438063103,18.4417179259918,"17","2",2.000000,"1","7",,2022/12/27,,"1400",Locacion/Reg_Fotografico/17.webp,"82",./0.png
-69.968458433519,18.4423692160425,"18","3",3.000000,"3",,,2022/12/27,,"3500",,"220",./0.png
-69.9654773683784,18.4417624880213,"19","3",2.000000,"2","3",,2022/12/27,,"1300",Locacion/Reg_Fotografico/19.webp,"200",./0.png
-69.9654882086152,18.4421395508853,"20","3",2.000000,"2",,,2022/12/27,,"1400",Locacion/Reg_Fotografico/20.webp,"140",./0.png
-69.9649335498284,18.4418704651987,"21","3",3.000000,"2",,"2",2022/12/27,,"2800",Locacion/Reg_Fotografico/21.webp,"188",./0.png
-69.9652659837593,18.4433067265964,"22","4",4.000000,"3","8","0",2022/12/27,,"3000",Locacion/Reg_Fotografico/22.webp,"465",./0.png
-69.965175648452,18.4433170100476,"23","3",3.000000,"3","6","0",2022/12/27,,"3000",Locacion/Reg_Fotografico/23.webp,"325",./0.png
-69.9620681138811,18.4417196399162,"24","3",4.000000,"4","14",,2022/12/27,,"4500",Locacion/Reg_Fotografico/24.webp,"426",./0.png
-69.9612478692909,18.4426760070794,"25","2",2.000000,"2",,,2022/12/27,,"1100",Locacion/Reg_Fotografico/25.webp,"120",./0.png
